Список салонов;;
Название;Юр.Лицо;Код салона
А21_ ТЦ Три Кита (г. Одинцово);"ООО ""АРТИС 21""";180
А21_Армада;"ООО ""АРТИС 21""";33
А21_АТЦ «Москва» (Каширское шоссе);"ООО ""АРТИС 21""";124
А21_Интернет;"ООО ""Артис 21""";19
А21_Кронштадтский б-р;"ООО ""АРТИС 21""";21
А21_ОЗОН;"ООО ""Артис 21""";190
А21_Ривер Сити;"ООО ""АРТИС 21""";140
А21_РИО (г.Коломна);"ООО ""АРТИС 21""";67
А21_Румянцево (г. Румянцево);"ООО ""АРТИС 21""";28
А21_Румянцево-2;"ООО ""АРТИС 21""";66
А21_Теплый Стан;"ООО ""АРТИС 21""";22
А21_ТЦ 12 СТУЛЬЕВ (г. Санкт-Петербург);"ООО ""АРТИС 21""";130
А21_ТЦ 12 СТУЛЬЕВ 2 (г.Санкт-Петербург);"ООО ""АРТИС 21""";178
А21_ТЦ FAMILY ROOM;"ООО ""АРТИС 21""";185
А21_ТЦ Аксиома HOME (г. Воронеж);"ООО ""АРТИС 21""";184
А21_ТЦ Андромеда (г.Одинцово);"ООО ""АРТИС 21""";142
А21_ТЦ Барс Премиум(г. Рязань);"ООО ""АРТИС 21""";101
А21_ТЦ Богатырь (г. Санкт-Петербург);"ООО ""АРТИС 21""";173
А21_ТЦ Большая Медведица (г. Коломна);"ООО ""АРТИС 21""";83
А21_ТЦ Вагант (г.Подольск);"ООО ""АРТИС 21""";24
А21_ТЦ Варшавка, 129;"ООО ""АРТИС 21""";29
А21_ТЦ Гагаринский  (г. Калуга);"ООО ""АРТИС 21""";96
А21_ТЦ Город (м. Римская);"ООО ""АРТИС 21""";59
А21_ТЦ Город2 (Рязанка);"ООО ""АРТИС 21""";75
А21_ТЦ Город3 (Рязанка);"ООО ""АРТИС 21""";151
А21_ТЦ Гранд Юг;"ООО ""АРТИС 21""";189
А21_ТЦ Грант (г.Люберцы);"ООО ""АРТИС 21""";45
А21_ТЦ Дом (г. Домодедово);"ООО ""АРТИС 21""";162
А21_ТЦ Егорьевский Пассаж  (г. Егорьевск);"ООО ""АРТИС 21""";65
"А21_ТЦ Зеленопарк ""Мебель Гуд""";"ООО ""АРТИС 21""";145
А21_ТЦ Империя;"ООО ""АРТИС 21""";113
А21_ТЦ Каширский Двор;"ООО ""АРТИС 21""";160
А21_ТЦ Комод (г.Щелково);"ООО ""АРТИС 21""";123
А21_ТЦ Косино Парк;"ООО ""АРТИС 21""";154
А21_ТЦ Красный Кит (г.Красногорск);"ООО ""АРТИС 21""";141
А21_ТЦ Красный Кит (Мытищи);"ООО ""АРТИС 21""";111
А21_ТЦ Ленинская Слобода (Roomer);"ООО ""АРТИС 21""";88
А21_ТЦ Ленинская Слобода 3 (Roomer);"ООО ""АРТИС 21""";156
А21_ТЦ Люблинское поле;"ООО ""АРТИС 21""";79
А21_ТЦ Магистраль (г.Солнечногорск);"ООО ""АРТИС 21""";41
А21_ТЦ Мебель BOX  (Калужская);"ООО ""АРТИС 21""";60
А21_ТЦ Мебель Гуд (Ногинск);"ООО ""АРТИС 21""";109
А21_ТЦ Мебель Маркет (г. Балашиха);"ООО ""АРТИС 21""";186
А21_ТЦ Мебель Молл (г Тула);"ООО ""АРТИС 21""";181
А21_ТЦ Мебель Молл (г.Клин);"ООО ""АРТИС 21""";188
А21_ТЦ Мебель России (Свободы) (2);"ООО ""АРТИС 21""";92
А21_ТЦ Мебель Сити (Дмитровка);"ООО ""АРТИС 21""";70
А21_ТЦ Мебель ХОЛ  (Раменское);"ООО ""АРТИС 21""";90
А21_ТЦ МЕБЕЛЬГУД (г. Раменское);"ООО ""АРТИС 21""";174
А21_ТЦ Мебельный Континент (г. Липецк);"ООО ""АРТИС 21""";119
А21_ТЦ Мебельный Центр на 101 км (г. Обнинск);"ООО ""АРТИС 21""";165
А21_ТЦ НИТИ (г. Рязань);"ООО ""АРТИС 21""";122
А21_ТЦ Новый дом (Калуга);"ООО ""АРТИС 21""";91
А21_ТЦ Орех (Орехово-Зуево);"ООО ""АРТИС 21""";72
А21_ТЦ Павловский Посад (г.Павловский Посад);"ООО ""АРТИС 21""";157
А21_ТЦ Панфиловский (г.Зеленоград);"ООО ""АРТИС 21""";69
А21_ТЦ Парк 11 (Дмитровская);"ООО ""АРТИС 21""";131
А21_ТЦ Парус (г Тула);"ООО ""АРТИС 21""";103
А21_ТЦ Первый Мебельный (г.Железнодорожный);"ООО ""АРТИС 21""";48
А21_ТЦ Перовский;"ООО ""АРТИС 21""";98
А21_ТЦ Плаза (г. Дзержинский);"ООО ""АРТИС 21""";27
А21_ТЦ Поворот (Лобня);"ООО ""АРТИС 21""";112
А21_ТЦ Премьер (г.Рязань);"ООО ""АРТИС 21""";100
А21_ТЦ Пулмарт (г. Пушкино);"ООО ""АРТИС 21""";159
А21_ТЦ РИО (г.Реутов);"ООО ""АРТИС 21""";36
А21_ТЦ Светофор (Люберцы);"ООО ""АРТИС 21""";152
А21_ТЦ Сергиев Град (г.Сергиев Посад);"ООО ""АРТИС 21""";47
А21_ТЦ СтильБ (Ногинск);"ООО ""АРТИС 21""";31
А21_ТЦ Тандем (г.Ярославль);"ООО ""АРТИС 21""";132
А21_ТЦ Твой дом (Крокус Сити г. Красногорск);"ООО ""Крона""";58
А21_ТЦ Торговые Ряды (г.Серпухов);"ООО ""АРТИС 21""";77
А21_ТЦ Триумф Плаза (г. Обнинск);"ООО ""АРТИС 21""";164
А21_ТЦ Уют (Наро-Фоминск);"ООО ""АРТИС 21""";84
А21_ТЦ Центральный Дом Мебели (г. Воронеж);"ООО ""АРТИС 21""";147
А21_ТЦ Черемушки;"ООО ""АРТИС 21""";39
А21_ТЦ Шатура  (Бибирево);"ООО ""АРТИС 21""";56
А21_ТЦ Шатура (Рязанский пр.58/1);"ООО ""АРТИС 21""";57
А21_ТЦ Шмель (г.Подольск);"ООО ""АРТИС 21""";9
А21_ТЦ Щелково (Щелковское ш. д.100);"ООО ""АРТИС 21""";94
А21_ТЦ Щелково КЭМП;"ООО ""АРТИС 21""";175
А21_ТЦ Эдельвейс (г. Железнодорожный);"ООО ""АРТИС 21""";95
А21_ТЦ Эльград (г. Электросталь);"ООО ""АРТИС 21""";71
А21_ТЦ Эрмитаж Холл (г.Тула);"ООО ""АРТИС 21""";118
А21_ТЦ Ярмарка Мебели (Говорово);"ООО ""АРТИС 21""";149
А21_Формат №2 (г. Мытищи);"ООО ""АРТИС 21""";74
А21_Ярославка 3;"ООО ""АРТИС 21""";129
Ав_ТЦ Гранд (г.Химки);"ООО ""Аверс""";3
Ах_ТЦ Аквилон 2 (г. Санкт-Петербург);"ООО ""Артхол""";170
Ах_ТЦ Аквилон 3 (г. Санкт-Петербург);"ООО ""Артхол""";176
Ах_ТЦ Богатырь 2 (г. Санкт-Петербург);"ООО ""Артхол""";182
Ах_ТЦ Галерея Мебели (г.Тверь);"ООО ""Артхол""";73
Ах_ТЦ Гранд Каньон (г. Санкт-Петербург);"ООО ""Артхол""";171
Ах_ТЦ Мебель Сити (г. Санкт Петербург);"ООО ""Артхол""";121
Ах_ТЦ Мебель Холл (г.Санкт-Петербург);"ООО ""Артхол""";143
Ах_ТЦ Мебель Холл 2 (г.Санкт-Петербург);"ООО ""Артхол""";155
Ах_ТЦ Мебельвуд (г. Санкт-Петербург);"ООО ""Артхол""";125
Ах_ТЦ Мебельмолл (г. Колпино);"ООО ""Артхол""";179
Ах_ТЦ Мебельный Континент (г. Санкт-Петербург);"ООО ""Артхол""";168
Ах_ТЦ Плаза (г. Балашиха);"ООО ""Артхол""";20
Ах_ТЦ Тандем (г.Тверь);"ООО ""Артхол""";104
Кр_ТЦ БУМ (г. Нижний Новгород);"ООО ""Крона""";183
Кр_ТЦ Маяк (г. Владимир);"ООО ""Крона""";107
Кр_ТЦ Мега Молл (г. Чебоксары);"ООО ""Крона""";139
Кр_ТЦ МТВ-Центр (г.Чебоксары 1);"ООО ""Крона""";110
Кр_ТЦ Подкова (г. Владимир);"ООО ""Крона""";134
Кр_ТЦ Саша (г. Александров);"ООО ""Крона""";78
НН_ТЦ Мебельный Базар (г. Нижний Новгород);"ООО ""Крона""";187
НН_ТЦ Открытый Материк (НН);"ООО ""Крона""";50
НН_ТЦ Порт Уют (Дзержинск);"ООО ""Крона""";80
